HANDLER_ID,REPORT_CYCLE,BR_GENERATOR,BR_TSDF,BR_GENERATE_TONS,BR_MANAGE_TONS,BR_SHIP_TONS,BR_RECEIVE_TONS,HD_GENERATOR,HD_GENERATOR_CONF,HD_TSDF,HD_TSDF_CONF
ALD063679567,2023,L,N,56.3515,0,56.3515,0,L,FALSE,N,FALSE
ALD067111450,2015,L,N,23.255,0,23.255,0,L,FALSE,N,FALSE
ALD067111450,2017,L,N,23.636,0,23.636,0,L,FALSE,N,FALSE
ALD067111450,2019,L,N,198.0933069,0,198.0933069,0,L,FALSE,N,FALSE
ALD067111450,2021,L,N,16.3725,0,16.3725,0,L,FALSE,N,FALSE
ALD067111450,2023,L,N,13.6575,0,13.6575,0,L,FALSE,N,FALSE
ALD067123570,2015,L,N,7412.9535,0,4768.4935,0,L,FALSE,N,FALSE
ALD067123570,2017,L,N,7611.095,0,6961.395,0,L,FALSE,N,FALSE
ALD067123570,2019,L,N,8576.19575,0,4830.19575,0,L,FALSE,N,FALSE
ALD067123570,2021,L,N,9934.6,0,9934.6,0,L,FALSE,N,FALSE
ALD067123570,2023,L,N,9907.7,0,9907.7,0,L,FALSE,N,FALSE
ALD070513767,2015,L,Y,12594.37086,13858.9444425,19095.88563,16323.3987575,L,FALSE,Y,FALSE
ALD070513767,2017,L,Y,21.67877,18101.971525,14682.29177,20353.447125,L,FALSE,Y,FALSE
ALD070513767,2019,L,Y,250.602775,16306.90666,20124.7217,21256.46507,L,FALSE,Y,FALSE
ALD070513767,2021,L,Y,574.73163,16601.0906675,10984.6667925,21133.0219225,L,FALSE,Y,FALSE
ALD070513767,2023,L,Y,2045.99147,21028.746045,20460.847175,23834.3748975,L,FALSE,Y,FALSE
ALD075045575,2015,L,N,798.8525,0,798.9875,0,L,FALSE,N,FALSE
ALD075045575,2017,L,N,819.8605,0,819.8605,0,L,FALSE,N,FALSE
ALD075045575,2019,L,N,1196.607,0,1196.607,0,L,FALSE,N,FALSE
ALD075045575,2021,L,N,1273.9755,0,1273.9755,0,L,FALSE,N,FALSE
ALD075045575,2023,L,N,982.211,0,982.211,0,L,FALSE,N,FALSE
ALD077647691,2015,L,N,28.2135,0,28.2135,0,L,FALSE,N,FALSE
ALD077647691,2017,L,N,19.5365,0,19.5365,0,L,FALSE,N,FALSE
ALD077647691,2019,L,N,26.3116,0,26.3116,0,L,FALSE,N,FALSE
ALD077647691,2021,L,N,41.419,0,41.419,0,L,FALSE,N,FALSE
ALD077647691,2023,L,N,31.183,0,31.183,0,L,FALSE,N,FALSE
ALD077657427,2015,L,Y,71.896,5.071,66.825,0,L,FALSE,N,FALSE
ALD077657427,2017,L,Y,80.9985,2.123,78.8755,0,L,FALSE,N,FALSE
ALD077657427,2019,L,N,81.496,0,81.496,0,L,FALSE,N,FALSE
ALD077657427,2021,L,N,126.1515,0,126.1515,0,L,FALSE,N,FALSE
ALD077657427,2023,L,N,110.52015,0,110.52015,0,L,FALSE,N,FALSE
ALD078964970,2015,L,N,740.512,0,740.512,0,L,FALSE,N,FALSE
ALD078964970,2017,L,N,1971.8805,0,1971.8805,0,L,FALSE,N,FALSE
ALD078964970,2019,L,N,1878.9075,0,1878.9075,0,L,FALSE,N,FALSE
ALD078964970,2021,L,N,1419.6265,0,1419.6265,0,L,FALSE,N,FALSE
ALD078964970,2023,L,N,1097.5235,0,1097.5235,0,L,FALSE,N,FALSE
